編號,所屬單位,安裝地址,攝影方向
LADC091-01,大安分局 安和路派出所,敦化南路2段81巷22號旁(松青超市旁),東
LADC092-01,大安分局 安和路派出所,信義路4段184號後側,北
LADC093-01,大安分局 安和路派出所,安和路2段20巷與信義路4段186巷口,南
LADC094-01,大安分局 安和路派出所,通安街60號前,南
LADC095-01,大安分局 安和路派出所,北市大安區安和路2段21號前路口監控,東
LADC096-02,大安分局 安和路派出所,信義路4段258號前南側分隔島號誌桿,西
LADC096-03,大安分局 安和路派出所,信義路4段258號前南側分隔島號誌桿,東
LADC097-01,大安分局 安和路派出所,安和路2段73號旁,東
LADC099-01,大安分局 安和路派出所,安和路2段70號分隔島,東
LADC100-01,大安分局 安和路派出所,安和路2段11號,西
LADC100-02,大安分局 安和路派出所,安和路2段11號,北
LADC101-01,大安分局 安和路派出所,安和路2段61號,東
LADC105-02,大安分局 安和路派出所,文昌街210巷11弄,南
LADC106-01,大安分局 安和路派出所,安和路2段35巷15號,東
LADC107-01,大安分局 安和路派出所,臨江街152號前停車場燈桿,東
LADC108-01,大安分局 安和路派出所,通化街170巷14號通安街通化街170巷口,東
LADC109-01,大安分局 安和路派出所,樂利路11巷1號,北
LADC110-01,大安分局 安和路派出所,通化街96-1號,東
LADC111-01,大安分局 安和路派出所,通化街120巷9號前,東
LADC112-01,大安分局 安和路派出所,通化街140巷1號,東
LADC113-01,大安分局 安和路派出所,通安街121號對面(108巷口),西
LADC114-01,大安分局 安和路派出所,安和路2段31號旁,東
LADC115-01,大安分局 安和路派出所,通化街162巷2號前,北
LADC116-01,大安分局 安和路派出所,通化街19巷26號,東
LADC118-01,大安分局 安和路派出所,光復南路628巷16號前,北
LADC119-01,大安分局 安和路派出所,光復南路694號前分隔島,南
LADC119-02,大安分局 安和路派出所,光復南路694號前分隔島,北
LADC120-01,大安分局 安和路派出所,光復南路676巷12號,東
LADC121-01,大安分局 安和路派出所,文昌街311號前,東
LADC122-01,大安分局 安和路派出所,通化街1號通化公園前,南
LADC122-02,大安分局 安和路派出所,通化街1號通化公園前,北
LADC123-01,大安分局 安和路派出所,通化街19巷6弄2號旁,西
LADC125-01,大安分局 安和路派出所,光復南路692巷17號旁,北
LADC125-02,大安分局 安和路派出所,通化街39巷49弄24之3號前,南
LADC126-02,大安分局 安和路派出所,光復南路678號大門左側旁燈桿,西
LADC127-01,大安分局 安和路派出所,通化街39巷4號旁,東
LADC128-01,大安分局 安和路派出所,通化街70號前,東
LADC129-01,大安分局 安和路派出所,信義路4段與光復南路口西北側分隔島,東
LADC129-02,大安分局 安和路派出所,信義路4段與光復南路口西北側分隔島,南
LADC130-01,大安分局 安和路派出所,通化街39巷50弄、臨江街口,北
LADC131-01,大安分局 安和路派出所,文昌街248號,南
LADC132-01,大安分局 安和路派出所,敦化南路2段81巷65弄口,北
LADC133-01,大安分局 安和路派出所,通化街39巷61弄2號,南
LADC134-01,大安分局 安和路派出所,文昌街276號旁,北
LADC135-01,大安分局 安和路派出所,通化街39巷50弄4號旁,東
LADC136-01,大安分局 安和路派出所,通化街165巷26號旁,東
LADC137-02,大安分局 安和路派出所,光復南路698號前中央分隔島,西南
LADC137-03,大安分局 安和路派出所,光復南路698號前中央分隔島,西
LADC138-01,大安分局 安和路派出所,通化街171巷1號,東
LADC139-01,大安分局 安和路派出所,通化街165巷12-1號旁,東
LADC140-01,大安分局 安和路派出所,基隆路2段132巷6號,東
LADC142-01,大安分局 安和路派出所,通化街103號旁(101巷口),東
LADC143-01,大安分局 安和路派出所,通化街121號旁(123巷口),東
LADC144-01,大安分局 安和路派出所,通化街143巷4號旁,東
LADC145-01,大安分局 安和路派出所,通化街165巷口,西
LADC146-01,大安分局 安和路派出所,通化街171巷46號,東
LADC146-02,大安分局 安和路派出所,通化街171巷46號,北
LADC147-01,大安分局 安和路派出所,通化街101巷66號前,西
LADC148-01,大安分局 安和路派出所,臨江街40巷15號,東
LADC149-01,大安分局 安和路派出所,臨江街40巷61號旁,東
LADC150-01,大安分局 安和路派出所,通化街171巷18號,東
LADC151-01,大安分局 安和路派出所,通化街39巷50弄34號,東
LADC152-01,大安分局 安和路派出所,通化街165巷24弄3號,北
LADC153-01,大安分局 安和路派出所,北市大安區基隆路2段164號前路口監控,南
LADC154-01,大安分局 安和路派出所,基隆路2段172號前(喬治工商),南
LADC154-02,大安分局 安和路派出所,延吉街246號,北
LADC155-01,大安分局 安和路派出所,和平東路3段147號前,西南
LADC155-03,大安分局 安和路派出所,信義路4段378巷1號旁燈桿,西北
LADC156-01,大安分局 安和路派出所,樂利路29之1號前,北
LADC157-01,大安分局 安和路派出所,通化街175巷16號旁,西
LADC158-01,大安分局 安和路派出所,通化街175巷19號對面,東
LADC159-01,大安分局 安和路派出所,通化街200巷34號前燈桿,西
LADC160-01,大安分局 安和路派出所,通化街178號旁,東
LADC161-01,大安分局 安和路派出所,通化街175巷1號,東
LADC162-01,大安分局 安和路派出所,通化街205號旁,東
LADC163-01,大安分局 安和路派出所,通化街247號前,北
LADC164-01,大安分局 安和路派出所,通化街184巷3號對面,東
LADC165-01,大安分局 安和路派出所,通化街181巷2號旁,東
LADC166-01,大安分局 安和路派出所,通安街154號旁,東
LADC167-01,大安分局 安和路派出所,通安街168號旁,東
LADC168-01,大安分局 安和路派出所,基隆路2段176號,西
LADC169-01,大安分局 安和路派出所,通化街200巷38號旁,東
LADC170-01,大安分局 安和路派出所,通化街200巷11號旁,西
LADC171-01,大安分局 安和路派出所,通化街198號,南
LADC172-01,大安分局 安和路派出所,樂利路87號,東
LADC173-03,大安分局 安和路派出所,敦化南路2段281號,南
LADC173-04,大安分局 安和路派出所,敦化南路2段281號,北
LADC174-01,大安分局 安和路派出所,敦化南路2段201號前,東
LADC174-02,大安分局 安和路派出所,敦化南路2段201號前,西
LADC175-01,大安分局 安和路派出所,和平東路3段87號,東
LADC175-03,大安分局 安和路派出所,和平東路3段與安和路2段口,北
LADC176-01,大安分局 安和路派出所,敦化南路2段265巷8號,東
LADC177-01,大安分局 安和路派出所,安和路2段189巷、安和路口分隔島,南
LADC178-01,大安分局 安和路派出所,樂利路42巷8號與和平東路119巷口,東
LADC179-01,大安分局 安和路派出所,安和路2段189巷、安和路口分隔島,東
LADC180-01,大安分局 安和路派出所,安和路2段171巷12號旁,西
LADC181-01,大安分局 安和路派出所,安和路2段217巷、安和路口,東
LADC182-01,大安分局 安和路派出所,安和路2段209巷2號,東
LADC183-01,大安分局 安和路派出所,安和路2段184巷、安和路口,西
LADC184-01,大安分局 安和路派出所,和平東路3段121號前,北
LADC184-02,大安分局 安和路派出所,和平東路3段121號前,東
LADC185-01,大安分局 安和路派出所,和平東路3段119巷43號,南
LADC186-01,大安分局 安和路派出所,樂利路40號前,北
LADC187-01,大安分局 安和路派出所,樂利路70號,北
LADC188-02,大安分局 安和路派出所,和平東路3段67巷、和平東路口,西
LADC189-01,大安分局 安和路派出所,和平東路3段119巷31號前,西南
LADC189-02,大安分局 安和路派出所,和平東路3段87號旁,北
LADC190-01,大安分局 安和路派出所,和平東路3段119巷5號,南
LADC194-01,大安分局 安和路派出所,信義路4段199巷27號前,南
LADC198-01,大安分局 安和路派出所,延吉街270號旁,南
LADC198-02,大安分局 安和路派出所,光復南路562號前(中央分隔島),北
LADC205-01,大安分局 安和路派出所,信義路4段400巷1號,南
LADC206-01,大安分局 安和路派出所,光復南路674號,南
LADC208-01,大安分局 安和路派出所,通化街39巷50弄101號,西
LADC209-01,大安分局 安和路派出所,基隆路2段144巷2號,西
LADC215-01,大安分局 安和路派出所,和平東路3段139號旁,北
LADC216-01,大安分局 安和路派出所,和平東路3段67號,南
LADC218-01,大安分局 安和路派出所,文昌街209號前,西
LADC219-01,大安分局 安和路派出所,基隆路2段132巷9號前,北
LADC222-01,大安分局 安和路派出所,和平東路3段70號前,東
LADC224-01,大安分局 安和路派出所,敦化南路2段162號前中央分隔島(中華電信),東
LADC225-01,大安分局 安和路派出所,敦化南路2段11巷7號,西
LADC226-01,大安分局 安和路派出所,敦化南路2段57號前(安源),北
LADC230-01,大安分局 安和路派出所,信義路4段263之1號旁號誌桿,西
LADD001-01,大安分局 瑞安街派出所,和平東路2段與建國南路2段(建國高架下),東
LADD001-02,大安分局 瑞安街派出所,和平東路2段與建國南路2段(建國高架下),西
LADD002-01,大安分局 瑞安街派出所,信義路3段77號旁號誌桿,東
LADD002-03,大安分局 瑞安街派出所,信義路3段(大安森林公園2號出口)前分隔島,東
LADD002-04,大安分局 瑞安街派出所,信義路3段102號前南側分隔島,北
LADD003-01,大安分局 瑞安街派出所,和平東路2段與新生南路2段口東北角,東
LADD003-03,大安分局 瑞安街派出所,建國南路2段側(大安森林公園)3號出口對面,南
LADD003-04,大安分局 瑞安街派出所,建國南路2段側(大安森林公園旁),東
LADD004-01,大安分局 瑞安街派出所,信義路3段與新生南路2段西南側分隔島,東
LADD004-02,大安分局 瑞安街派出所,信義路3段與新生南路2段西南側分隔島,西
LADD004-03,大安分局 瑞安街派出所,建國南路2段臨149號,東
LADD005-01,大安分局 瑞安街派出所,北市大安區建國南路2段旁(大安森林公園3號出口)(路口監控),東
LADD006-01,大安分局 瑞安街派出所,復興南路2段92號對面燈桿,西
LADD007-01,大安分局 瑞安街派出所,建國南路2段69巷口,東
LADD008-01,大安分局 瑞安街派出所,瑞安街208巷53弄2號,東
LADD009-01,大安分局 瑞安街派出所,瑞安街208巷61弄5號,東
LADD010-01,大安分局 瑞安街派出所,瑞安街208巷47弄1號,東
LADD011-01,大安分局 瑞安街派出所,瑞安街208巷25弄6號,東
LADD012-01,大安分局 瑞安街派出所,瑞安街208巷22號對面,南
LADD013-01,大安分局 瑞安街派出所,瑞安街122號,西北
LADD014-01,大安分局 瑞安街派出所,瑞安街136號對面燈桿,西北
LADD015-01,大安分局 瑞安街派出所,瑞安街208巷35弄6號,西
LADD016-01,大安分局 瑞安街派出所,復興南路2段78巷78號前,東
LADD017-01,大安分局 瑞安街派出所,北市大安區復興南路2段12巷1號對面燈桿,西
LADD018-01,大安分局 瑞安街派出所,信義路3段166巷2號前,南
LADD019-01,大安分局 瑞安街派出所,信義路3段150-1號(信義路3段152巷底),北
LADD021-01,大安分局 瑞安街派出所,建國南路2段79巷1號對面,東
LADD021-02,大安分局 瑞安街派出所,建國南路2段79巷1號對面,西
LADD022-01,大安分局 瑞安街派出所,信義路3段134巷12號旁,西
LADD023-01,大安分局 瑞安街派出所,建國南路2段27號,東
LADD024-01,大安分局 瑞安街派出所,北市大安區建國南路2段37號前路口監控,南
LADD025-01,大安分局 瑞安街派出所,建國南路2段15號,東
LADD026-01,大安分局 瑞安街派出所,大安路2段122巷6號,西
LADD027-01,大安分局 瑞安街派出所,瑞安街23巷4號前,西
LADD028-01,大安分局 瑞安街派出所,復興南路2段151巷28號對面,東
LADD029-01,大安分局 瑞安街派出所,大安路2段132巷12號,東
LADD030-01,大安分局 瑞安街派出所,北市大安區復興南路2段111巷5號前路口監控,南
LADD031-01,大安分局 瑞安街派出所,復興南路2段111巷，復興南路2段111巷17弄,北
LADD032-01,大安分局 瑞安街派出所,復興南路2段125巷口、復興南路2段119號,東南
LADD033-01,大安分局 瑞安街派出所,復興南路2段148巷43號前,西
LADD034-01,大安分局 瑞安街派出所,復興南路2段125巷18號旁,南
LADD035-01,大安分局 瑞安街派出所,大安路2段174號,北
LADD036-01,大安分局 瑞安街派出所,四維路170巷口，麥當勞對面,東南
LADD037-01,大安分局 瑞安街派出所,大安路2段132巷35弄1號旁,東
LADD038-01,大安分局 瑞安街派出所,大安路2段134號旁,南
LADD039-01,大安分局 瑞安街派出所,大安路2段與瑞安街23巷口,南
LADD040-01,大安分局 瑞安街派出所,大安路2段142巷8號前,東
LADD041-01,大安分局 瑞安街派出所,大安路2段141巷36號,東
LADD042-01,大安分局 瑞安街派出所,大安路2段160巷19號旁,東
LADD043-01,大安分局 瑞安街派出所,大安路2段160巷9號,東
LADD044-01,大安分局 瑞安街派出所,四維路164號旁,北
LADD045-01,大安分局 瑞安街派出所,四維路與四維路154巷西南角燈桿,南
LADD046-01,大安分局 瑞安街派出所,敦化南路2段68號前分隔島,南
LADD047-02,大安分局 瑞安街派出所,敦化南路與信義路4段西南側分隔島,西
LADD047-03,大安分局 瑞安街派出所,敦化南路1段376號,南
LADD047-04,大安分局 瑞安街派出所,敦化南路2段2號,北
LADD048-02,大安分局 瑞安街派出所,信義路3段202號前分隔島,西
LADD049-01,大安分局 瑞安街派出所,復興南路2段49號前,西
LADD050-01,大安分局 瑞安街派出所,大安路2段33號,東
LADD051-01,大安分局 瑞安街派出所,信義路4段30巷8弄口(6號旁),西
LADD052-01,大安分局 瑞安街派出所,信義路4段30巷5號旁,東
LADD053-01,大安分局 瑞安街派出所,信義路4段30巷2-1號旁,北
LADD054-01,大安分局 瑞安街派出所,信義路4段30巷22弄12-1號,東
LADD055-01,大安分局 瑞安街派出所,信義路4段30巷34號旁,西
LADD056-01,大安分局 瑞安街派出所,信義路4段30巷48號旁,西
LADD057-01,大安分局 瑞安街派出所,信義路4段30巷34號旁,西
LADD058-01,大安分局 瑞安街派出所,信義路4段30巷39號旁,西
LADD059-01,大安分局 瑞安街派出所,四維路124巷2號旁,東
LADD060-01,大安分局 瑞安街派出所,四維路136號旁,西
LADD061-01,大安分局 瑞安街派出所,敦化南路2段54號旁，四維路口,東
LADD062-01,大安分局 瑞安街派出所,大安路2段55號旁,西
LADD063-01,大安分局 瑞安街派出所,信義路4段30巷22弄12-1號,南
LADD063-03,大安分局 瑞安街派出所,信義路4段30巷50弄7號旁,北
LADD065-01,大安分局 瑞安街派出所,信義路4段74巷6弄2-4號前,東
LADD066-01,大安分局 瑞安街派出所,信義路4段74巷2弄1號,東
LADD067-01,大安分局 瑞安街派出所,四維路124巷20號,東
LADD069-01,大安分局 瑞安街派出所,大安路1段188號,東
LADD070-01,大安分局 瑞安街派出所,四維路6巷21弄口,東
LADD071-01,大安分局 瑞安街派出所,四維路52巷12號前,東
LADD072-01,大安分局 瑞安街派出所,四維路14巷8號對面,東
LADD072-02,大安分局 瑞安街派出所,四維路14巷8號對面,西
LADD073-01,大安分局 瑞安街派出所,大安路1段155號前,東
LADD074-01,大安分局 瑞安街派出所,仁愛路4段14號前與大安路口(東南角號誌桿),東
LADD074-03,大安分局 瑞安街派出所,大安路1段155號前,北
LADD077-01,大安分局 瑞安街派出所,大安路1段175巷18號,東
LADD078-01,大安分局 瑞安街派出所,四維路22巷18號前,東
LADD079-01,大安分局 瑞安街派出所,四維路44巷12號,東
LADD080-01,大安分局 瑞安街派出所,信義路4段74號旁號誌桿,東
LADD080-02,大安分局 瑞安街派出所,信義路4段與大安路口西北側號誌桿,西
LADD080-03,大安分局 瑞安街派出所,信義路4段74號旁號誌桿,南
LADD081-01,大安分局 瑞安街派出所,四維路52巷12號前,東
LADD082-01,大安分局 瑞安街派出所,信義路4段113號旁,南
LADD083-01,大安分局 瑞安街派出所,四維路76巷6號,東
LADD084-01,大安分局 瑞安街派出所,東豐街51號,東
LADD085-01,大安分局 瑞安街派出所,四維路14巷1號,東
LADD086-01,大安分局 瑞安街派出所,四維路6巷29號前,東
LADD087-01,大安分局 瑞安街派出所,四維路84巷7號,東
LADD088-01,大安分局 瑞安街派出所,信義路4段99巷1號,南
LADD089-01,大安分局 瑞安街派出所,四維路22巷4號,東
LADD090-01,大安分局 瑞安街派出所,復興南路2段210巷1弄口,東
LADD091-01,大安分局 瑞安街派出所,和平東路2段53巷3號,南
LADD092-01,大安分局 瑞安街派出所,和平東路2段153巷5弄口,北
LADD093-01,大安分局 瑞安街派出所,瑞安街276巷口、瑞安街278號旁,西
LADD094-01,大安分局 瑞安街派出所,和平東路2段49號,東
LADD095-01,大安分局 瑞安街派出所,瑞安街264巷6號,西
LADD096-01,大安分局 瑞安街派出所,瑞安街276巷口、瑞安街278號旁,東
LADD097-01,大安分局 瑞安街派出所,和平東路2段175巷3號,東
LADD098-01,大安分局 瑞安街派出所,復興南路2段210巷32號前,西
LADD099-01,大安分局 瑞安街派出所,和平東路2段175巷15弄2號,東
LADD100-01,大安分局 瑞安街派出所,瑞安街135巷33號前,西
LADD101-01,大安分局 瑞安街派出所,和平東路2段107巷23弄10號旁,西
LADD102-01,大安分局 瑞安街派出所,和平東路2段107巷23弄10號旁,東
LADD103-01,大安分局 瑞安街派出所,瑞安街135巷4號前,東
LADD104-01,大安分局 瑞安街派出所,和平東路2段與復興南路2段西側分隔島,北
LADD105-01,大安分局 瑞安街派出所,瑞安街266號,南
LADD106-01,大安分局 瑞安街派出所,北市大安區建國南路2段187號前路口監控,北
LADD107-01,大安分局 瑞安街派出所,和平東路2段107巷11弄1號,東
LADD108-01,大安分局 瑞安街派出所,瑞安街256巷17號前,西
LADD109-01,大安分局 瑞安街派出所,瑞安街244巷19號,西
LADD110-01,大安分局 瑞安街派出所,和平東路107巷6弄3號,西
LADD111-01,大安分局 瑞安街派出所,瑞安街49-3號,東
LADD112-01,大安分局 瑞安街派出所,復興南路2段128巷3號前,西
LADD113-01,大安分局 瑞安街派出所,瑞安街61巷3號,北
LADD114-01,大安分局 瑞安街派出所,北市大安區復興南路2段160巷1號前路口監控,南
LADD115-01,大安分局 瑞安街派出所,復興南路2段210巷1弄口,北
LADD116-01,大安分局 瑞安街派出所,復興南路2段210巷3-1號邊,北
LADD117-01,大安分局 瑞安街派出所,復興南路2段148巷24號對面號誌桿,東
LADD118-01,大安分局 瑞安街派出所,和平東路2段175巷44弄口,西
LADD119-01,大安分局 瑞安街派出所,瑞安街135巷15號前,東
LADD120-01,大安分局 瑞安街派出所,瑞安街252號前,南
LADD121-01,大安分局 瑞安街派出所,復興南路2段180巷21號前,東
LADD122-01,大安分局 瑞安街派出所,復興南路2段180巷1號,南
LADD123-01,大安分局 瑞安街派出所,和平東路2段175巷35弄1號,東
LADD124-01,大安分局 瑞安街派出所,和平東路2段175巷37弄1號前,東
LADD125-01,大安分局 瑞安街派出所,復興南路2段180巷29號,東
LADD126-01,大安分局 瑞安街派出所,瑞安街71巷3號對面,南
LADD127-01,大安分局 瑞安街派出所,北市大安區復興南路2段160巷1號前路口監控,北
LADD128-01,大安分局 瑞安街派出所,復興南路2段148巷43號前,東
LADD129-01,大安分局 瑞安街派出所,瑞安街85號旁,東
LADD130-01,大安分局 瑞安街派出所,北市大安區建國南路2段125號前路口監控,北
LADD131-01,大安分局 瑞安街派出所,北市大安區建國南路2段123巷口路口監控,東
LADD132-01,大安分局 瑞安街派出所,建國南路2段69巷28號,西
LADD133-01,大安分局 瑞安街派出所,信義路3段134巷57號,南
LADD134-01,大安分局 瑞安街派出所,瑞安街208巷35弄2號旁,南
LADD135-01,大安分局 瑞安街派出所,建國南路2段151巷12、16號對面,東
LADD136-01,大安分局 瑞安街派出所,北市大安區建國南路2段169號前路口監控,北
LADD137-01,大安分局 瑞安街派出所,瑞安街208巷14弄18號前,東
LADD138-01,大安分局 瑞安街派出所,瑞安街210號旁,南
LADD139-01,大安分局 瑞安街派出所,建國南路2段151巷與信義路3段134巷口(建國南路二段151巷38號對面單號側),西
LADD140-01,大安分局 瑞安街派出所,北市大安區建國南路2段151巷22號對面路口監控,東
LADD141-01,大安分局 瑞安街派出所,瑞安街85-1號、瑞安街210號對面,南
LADD142-01,大安分局 瑞安街派出所,瑞安街224號,東
LADD143-01,大安分局 瑞安街派出所,瑞安街224號,西北
LADD144-01,大安分局 瑞安街派出所,建國南路2段151巷口、建國南路2段153號對面,北
LADD144-02,大安分局 瑞安街派出所,建國南路2段151巷口、建國南路2段153號對面,西北
LADD145-01,大安分局 瑞安街派出所,建國南路79巷35號旁,西
LADD146-01,大安分局 瑞安街派出所,北市大安區信義路3段134巷51號前(路口監控),南
LADD147-01,大安分局 瑞安街派出所,瑞安街208巷70弄1號,東
LADD149-01,大安分局 瑞安街派出所,北市大安區信義路3段134巷45弄口(路口監控),東
LADD151-01,大安分局 瑞安街派出所,仁愛路4段2號前燈桿,西
LADD151-02,大安分局 瑞安街派出所,仁愛路4段2號前燈桿,西北
LADD152-01,大安分局 瑞安街派出所,仁愛路四段8巷前,西
LADD153-01,大安分局 瑞安街派出所,大安路1段178號旁,西
LADD157-01,大安分局 瑞安街派出所,大安路1段206巷21號前,西南
LADD158-01,大安分局 瑞安街派出所,北市大安區大安路1段228號與224巷口路口監控,北
LADD159-01,大安分局 瑞安街派出所,仁愛路4段8巷20號對面燈桿,南
LADD160-01,大安分局 瑞安街派出所,復興南路1段295巷5號對面,西
LADD162-01,大安分局 瑞安街派出所,復興南路1段253巷13號,西
LADD163-01,大安分局 瑞安街派出所,北市大安區復興南路1段305號前路口監控,南
LADD164-01,大安分局 瑞安街派出所,北市大安區復興南路1段305號前路口監控,東
LADD165-01,大安分局 瑞安街派出所,信義路4段19巷3之1號前,東
LADD166-01,大安分局 瑞安街派出所,信義路4段1-10號前小綠人桿,南
LADD166-02,大安分局 瑞安街派出所,信義路4段1-10號前小綠人桿,東
LADD167-01,大安分局 瑞安街派出所,信義路4段2號前小綠人桿,東
LADD168-01,大安分局 瑞安街派出所,東豐街24號邊,北
LADD169-01,大安分局 瑞安街派出所,仁愛路4段8巷29號對面,東
LADD171-01,大安分局 瑞安街派出所,北市大安區仁愛路4段10號前路口監控,西
LADD173-01,大安分局 瑞安街派出所,和平東路2段42號與建國南路2段口西北角(公園前),南
LADD182-01,大安分局 瑞安街派出所,四維路122號前燈桿,南
LADD182-02,大安分局 瑞安街派出所,四維路122號前燈桿,北
LADD184-01,大安分局 瑞安街派出所,信義路4段2號前分隔島,東
LADD188-01,大安分局 瑞安街派出所,東豐街33號旁,南
LADD189-01,大安分局 瑞安街派出所,大安路1段188號前燈桿,北
LADD193-01,大安分局 瑞安街派出所,仁愛路4段與復興南路1段東南角燈桿,南
LADE001-01,大安分局 敦化南路派出所,大安路1段126巷口,西
LADE002-01,大安分局 敦化南路派出所,大安路1段126巷口,西
LADE003-01,大安分局 敦化南路派出所,大安路1段118號旁,東
LADE004-01,大安分局 敦化南路派出所,大安路1段101巷2號,西
LADE005-01,大安分局 敦化南路派出所,敦化南路1段252巷17號,西
LADE006-01,大安分局 敦化南路派出所,敦化南路1段232巷2號,南
LADE007-01,大安分局 敦化南路派出所,復興南路1段177巷8號前,東
LADE009-01,大安分局 敦化南路派出所,大安路1段84巷19號,北
LADE011-01,大安分局 敦化南路派出所,復興南路1段219巷12號,西
LADE012-01,大安分局 敦化南路派出所,仁愛路4段27巷大安路1段84巷16號對面,西
LADE013-01,大安分局 敦化南路派出所,仁愛路四段27巷26號前,北
LADE014-01,大安分局 敦化南路派出所,仁愛路4段27巷4弄口(27巷6號旁),南
LADE015-01,大安分局 敦化南路派出所,大安路一段106巷22號前,東
LADE016-01,大安分局 敦化南路派出所,忠孝東路4段26巷79號對面,北
LADE017-01,大安分局 敦化南路派出所,忠孝東路4段52號前(分隔島),南
LADE018-01,大安分局 敦化南路派出所,仁愛路4段27巷14號前,北
LADE019-01,大安分局 敦化南路派出所,復興南路1段219巷17號前,東
LADE020-01,大安分局 敦化南路派出所,大安路1段126巷12號前,西
LADE021-01,大安分局 敦化南路派出所,大安路1段與敦化南路1段252巷口,北
LADE022-01,大安分局 敦化南路派出所,大安路1段84巷5號旁,東
LADE023-01,大安分局 敦化南路派出所,敦化南路1段270巷28號,東
LADE024-01,大安分局 敦化南路派出所,仁愛路4段91巷口,東
LADE024-02,大安分局 敦化南路派出所,仁愛路4段91巷口,南
LADE025-01,大安分局 敦化南路派出所,仁愛路4段27巷11-1號對面(14號旁),東
LADE026-01,大安分局 敦化南路派出所,大安路1段144巷口,東
LADE027-01,大安分局 敦化南路派出所,大安路1段與仁愛路4段91巷口,東
LADE028-01,大安分局 敦化南路派出所,敦化南路一段270巷與大安路一段(東南角燈桿),西
LADE029-01,大安分局 敦化南路派出所,敦化南路1段236巷23號,西
LADE030-01,大安分局 敦化南路派出所,仁愛路4段91巷19號前,東
LADE031-01,大安分局 敦化南路派出所,復興南路1段107巷8號旁,西
LADE032-01,大安分局 敦化南路派出所,大安路1段75巷與忠孝東路(香檳大廈路口),南
LADE033-01,大安分局 敦化南路派出所,復興南路1段79巷7號,東
LADE034-01,大安分局 敦化南路派出所,大安路1段52巷16號前,西
LADE036-01,大安分局 敦化南路派出所,敦化南路1段190巷31號,東
LADE037-01,大安分局 敦化南路派出所,大安路1段61號旁,北
LADE038-01,大安分局 敦化南路派出所,敦化南路1段190巷41號前,西
LADE039-01,大安分局 敦化南路派出所,忠孝東路4段101巷39號,東
LADE039-02,大安分局 敦化南路派出所,復興南路1段135巷21號旁,北
LADE040-01,大安分局 敦化南路派出所,忠孝東路4段101巷71號,北
LADE041-01,大安分局 敦化南路派出所,大安路1段56號前,北
LADE042-01,大安分局 敦化南路派出所,大安路1段31巷36號,西
LADE043-01,大安分局 敦化南路派出所,忠孝東路4段17巷與大安路1段52巷口,北
LADE044-01,大安分局 敦化南路派出所,忠孝東路4段77巷30號,南
LADE045-01,大安分局 敦化南路派出所,市民大道與大安路一段路口,東
LADE046-01,大安分局 敦化南路派出所,敦化南路1段160巷39號,西
LADE047-01,大安分局 敦化南路派出所,復興南路1段107巷42號,東
LADE049-01,大安分局 敦化南路派出所,敦化南路1段160巷9號,西
LADE051-01,大安分局 敦化南路派出所,敦化南路1段190巷11號,西
LADE051-02,大安分局 敦化南路派出所,敦化南路1段190巷11號,東
LADE053-01,大安分局 敦化南路派出所,忠孝東路4段101巷30號,北
LADE054-01,大安分局 敦化南路派出所,忠孝東路4段49巷4弄2號,東
LADE055-01,大安分局 敦化南路派出所,忠孝東路4段49巷2號,北
LADE056-01,大安分局 敦化南路派出所,北市大安區忠孝東路4段61號與大安路1段路口監控,東
LADE058-01,大安分局 敦化南路派出所,忠孝東路4段52號前(分隔島),西
LADE059-01,大安分局 敦化南路派出所,大安路1段14號前,東
LADE060-01,大安分局 敦化南路派出所,北市大安區忠孝東路4段223巷47號前路口監控,北
LADE062-01,大安分局 敦化南路派出所,敦化南路1段187巷12號旁,北
LADE063-01,大安分局 敦化南路派出所,敦化南路1段183號,東
LADE064-01,大安分局 敦化南路派出所,敦化南路1段161巷34號,西
LADE065-01,大安分局 敦化南路派出所,敦化南路1段187巷29號旁,北
LADE066-01,大安分局 敦化南路派出所,敦化南路1段161巷56號,西
LADE067-01,大安分局 敦化南路派出所,北市大安區忠孝東路4段223巷47號前路口監控,北
LADE068-01,大安分局 敦化南路派出所,忠孝東路4段205巷12號,南
LADE069-01,大安分局 敦化南路派出所,敦化南路1段161巷14號旁,東
LADE070-01,大安分局 敦化南路派出所,北市大安區忠孝東路4段205巷7弄1號前路口監控,西
LADE071-01,大安分局 敦化南路派出所,忠孝東路4段181巷10弄17號旁,東
LADE072-01,大安分局 敦化南路派出所,北市大安區忠孝東路4段181巷35號前路口監控,北
LADE073-01,大安分局 敦化南路派出所,敦化南路1段177巷38號旁,北
LADE074-01,大安分局 敦化南路派出所,敦化南路1段187巷32號,東
LADE075-01,大安分局 敦化南路派出所,忠孝東路4段223巷47號旁,東
LADE076-01,大安分局 敦化南路派出所,北市大安區忠孝東路4段181巷口中央分隔島,北
LADE077-01,大安分局 敦化南路派出所,北市大安區忠孝東路4段205巷7弄1號前路口監控,東
LADE078-01,大安分局 敦化南路派出所,忠孝東路4段231號,西
LADE079-01,大安分局 敦化南路派出所,忠孝東4段181巷38號,西
LADE080-01,大安分局 敦化南路派出所,忠孝東4段181巷38號,西
LADE081-01,大安分局 敦化南路派出所,忠孝東4段205巷29弄2號,東
LADE082-01,大安分局 敦化南路派出所,市民大道4段與忠孝東路4段181巷口,東
LADE083-01,大安分局 敦化南路派出所,市民大道4段與忠孝東4段205巷38號旁,南
